city_code,city,week,new case,growth rate,Wuhan flow,Wuhan flow_lag,Hubei/non-Wuhan flow,Hubei/non Wuhan flow_lag,non-Hubei flow,non-Hubei flow_lag,City internal flow index,City internal flow index_lag,City internal flow,City internal flow_lag,Doctors,COVID-19 Hospitals,Hospitals,Beds,Outpatients,Population,Density,GDP,Income,Aging,Highest Temperature,Lowest Temperature,Average Temperature,Relative Humidity,Absolute Humidity,ILI
110000,Beijing,1,26,4.08,34936.34596,56952.42718,32763.10281,35230.29828,71467.38,98903.86971,4.709557143,5.974428571,239100.4417,847046.1251,94417,20,656,113700,14588.8,2154,1167,30300,14.06685237,11.25445595,3.580357143,-3.473214286,0.053571429,39.73660714,1.934259662,0
120000,Tianjin,1,5,5,6673.619537,8489.106955,417.2457439,1842.3605,29197.314,35186.63143,4.894357143,5.754,208259.838,491975.7261,41127,4,426,60158,7096.4,1559.6,1085,18810,12.06078482,10.91918087,5.321428571,-1.973214286,1.674107143,43.53571429,2.367625717,0
130100,Shijiazhuang,1,1,10,1317.178323,7137.982831,203.0029833,841.1238836,26677.242,27497.46343,5.139428571,5.634385714,173197.9921,284118.8244,34487,2,235,46036,1914.808919,1015.12,617,5586.6,5.503388762,12.68677209,5,-3.857142857,0.571428571,63.64285714,3.210183689,0.011572731
130900,Cangzhou,1,1,17,5936.132873,4147.256731,2.775720962,0,22622.166,18593.15657,5.614714286,5.646685714,205977.1578,212668.9447,19233,1,154,31469,1415.753639,750.55,516,3676.4,4.898274599,12.68677209,6.571428571,-1.428571429,2.571428571,55.71428571,3.219667563,0.009835702
140100,Taiyuan,1,1,3,4979.926652,6938.99297,0,9.169026433,24793.128,27908.75829,4.687485714,5.4212,47554.71058,99047.06447,21476,2,175,36566,642.6028425,437.97,497,3884.48,8.869283284,10.32446442,0.714285714,-5.428571429,-2.357142857,76.07142857,3.131082441,0.017997103
150700,Hulunbuir,1,1,1,509.6185832,615.8564641,0,0,3637.062,3224.355429,5.216885714,5.310485714,46628.1142,51203.28389,9623,15,219,13854,485.6032793,252.92,10,1252.9,4.953740313,9.850344064,-18.57142857,-28,-23.28571429,92,0.75292225,0.023746609
210100,Shenyang,1,2,4,5263.781025,5275.512231,6.187965203,0,25197.048,28786.428,5.2916,5.915971429,164769.4574,307636.4404,28193,7,274,64196,1856.254536,829.4,592,6292.4,7.586689173,14.97594002,-4,-10.14285714,-7.071428571,78.5,2.303871188,0.026643432
210200,Dalian,1,1,6,4187.142264,4149.014267,138.7440968,0,10468.278,9921.944571,5.2816,5.921557143,137433.1676,260628.2046,20301,3,153,41444,1563.850804,698.75,449,7668.5,10.9745975,14.97594002,2.142857143,-3.714285714,-0.785714286,60.35714286,2.772418077,0.045869678
211300,Chaoyang,1,1,4,747.3262797,439.7776587,0,2.909460246,8502.354,5507.305714,5.933028571,5.722585714,111302.1581,90179.83034,7464,2,80,13284,660.2303931,295,173,831.4,2.818305085,14.97594002,-2,-10.57142857,-6.285714286,65.42857143,2.03354531,0.054261443
220100,Changchun,1,1,2,3869.664448,3704.275007,0,0,20776.014,21404.78229,5.373657143,5.805542857,165403.6195,254747.8875,21119,9,162,44756,1411.509373,767,363,7175,9.354628422,12.37090155,-8.857142857,-16.57142857,-12.71428571,89.57142857,1.72116151,0.017641783
220200,Jilin,1,1,2,1659.309588,1256.513679,0,3.108492051,8968.104,7346.283429,5.381042857,5.410857143,95806.68405,98706.09915,12862,7,148,23937,811.5718818,441,156,2210,5.011337868,12.37090155,-6.571428571,-17,-11.78571429,89.78571429,1.852510075,0.010462275
220700,Songyuan,1,1,1,513.3232244,500.566894,0,0,7288.542,6070.834286,5.725642857,5.5475,88309.53255,73899.43638,5681,7,51,7661,530.0061269,288,133,1373,4.767361111,12.37090155,-10.42857143,-21,-15.71428571,87.78571429,1.334969262,0.008748994
230100,Harbin,1,1,17,8840.525218,2730.024392,0,436.5376354,26270.298,25937.95886,5.145942857,5.497957143,183153.5947,260431.3779,22000,24,310,70500,1797.576262,1066.5,200,6300.5,5.907641819,12.21482583,-12.14285714,-21.42857143,-16.78571429,92.07142857,1.285923673,0.043050311
230600,Daqing,1,1,6,414.3823354,775.0595167,0,0,7421.652,6577.894286,5.734557143,5.862128571,90752.33563,103100.6441,9926,10,113,16276,494.4219605,293.34,137,2801.2,9.549328424,12.21482583,-12.57142857,-21.14285714,-16.85714286,89.35714286,1.240917796,0.002588269
231000,Mudanjiang,1,1,1,528.4625743,498.9074545,0,0,4563.378,3344.142857,5.081,5.035442857,44788.18556,42793.54385,7797,7,79,15700,469.0721742,278.3,69,1423,5.113187208,12.21482583,-9,-20.42857143,-14.71428571,87.92857143,1.446604851,0.009557182
231200,Suihua,1,1,11,724.992135,990.2513845,0,0,14183.478,10845.94629,5.445671429,5.056114286,125526.6045,85026.29664,10613,11,64,19132,912.9294016,541.64,159,1359.6,2.510154346,12.21482583,-13.28571429,-23.28571429,-18.28571429,93.07142857,1.152284691,0.069037872
310000,Shanghai,1,20,5.4,27319.26518,42312.29608,28747.18909,31126.50713,53771.31,71438.01943,4.7704,6.166757143,285950.5999,1155370.339,67907,110,363,115916,15283.4,2424,3631,32680,13.48184818,14.95195452,10.66964286,5.446428571,8.058035714,72.125,5.984081225,0
320100,Nanjing,1,3,7.33,7322.015022,18512.7763,5776.598941,10409.20815,37180.89,41344.62171,4.9887,5.928471429,123797.4642,316846.7777,28100,55,220,46960,2646.808368,843.62,1213,12820.4,15.19688959,14.29632099,9,4.285714286,6.642857143,76.42857143,5.785405246,0.022355297
320200,Wuxi,1,1,11,5498.024747,6711.903983,709.2187851,2448.976336,21920.328,26956.56857,4.797428571,6.133314286,79681.86408,303059.0655,19610,56,166,36544,2062.710891,657.45,1331,11438.6,17.39843334,14.29632099,9.714285714,4.428571429,7.071428571,76,5.915667471,0.025333043
320500,Suzhou,1,2,15,1442.623877,11421.84414,12434.38709,14294.71597,35037.306,47680.53429,4.397585714,6.218771429,87118.59455,538321.5514,22900,78,135,39764,3363.870615,1072.17,1233,18597.5,17.34566347,14.29632099,10,4,7,76.42857143,5.921478849,0.090217042
320600,Nantong,1,1,9,7624.803599,6056.073668,35.95441827,1171.429946,24393.528,18477.16457,5.482171429,5.8648,175709.0689,257612.9284,18800,49,222,33283,2293.469711,731,852,8427,11.52804378,14.29632099,10,4.285714286,7.142857143,76.35714286,5.971100324,0.032281263
320700,Lianyungang,1,1,8,3663.891106,3020.572983,0,2.853945822,20287.962,11242.19829,6.009085714,5.457957143,184014.1423,106047.1752,11500,14,80,16769,1418.123542,452,590,2771.7,6.132079646,14.29632099,5.714285714,2.142857143,3.928571429,74.21428571,4.69733369,0.085943808
321000,Yangzhou,1,1,7,5373.254198,4070.965094,2480.717336,120.4095136,17850.672,12537.68914,5.641528571,5.935442857,127725.8466,171365.796,10900,24,69,16260,1421.574728,453.1,672,5466.2,12.06400353,14.29632099,9.142857143,4.571428571,6.857142857,78,5.98734172,0.081248422
330100,Hangzhou,1,6,13.17,5225.645142,15959.89652,14792.17563,16949.35556,38787.822,51055.41086,4.350285714,5.888,73377.5707,341494.8501,41833,9,302,70187,4590.749846,946.8,467,13509.2,14.26827207,12.9863503,10.85714286,4.857142857,7.857142857,75.57142857,6.189318321,0.033063562
330200,Ningbo,1,5,8.2,4654.88752,1418.539136,583.130714,2372.044076,15239.34,18535.66971,4.106314286,5.8299,48608.36033,272429.8782,24268,15,154,34135,3881.38493,800.5,711,10745.5,13.42348532,12.9863503,10.57142857,4.857142857,7.714285714,78,6.329553943,0.043894607
330300,Wenzhou,1,6,36.83,13956.34959,3911.244748,10392.68441,10045.50259,21350.844,16398.84343,3.612357143,4.466857143,34144.60661,80246.61986,26674,12,142,36327,4468.077718,921.5,645,6006.16,6.517807922,12.9863503,14.57142857,9.428571429,12,71.71428571,7.639705918,0.019366757
330400,Jiaxing,1,3,4.33,2511.578622,3506.879296,0,242.6453253,13976.01,20029.17086,3.874057143,5.324057143,22412.72237,95548.00203,11392,6,75,22044,2257.555057,465.6,1056,4871.98,10.46387457,12.9863503,9.428571429,4.571428571,7,80.14285714,6.209251653,0.030316578
330600,Shaoxing,1,1,22,4786.416004,3716.39923,40.52205637,23.56839433,15385.41,15775.51371,4.272928571,5.389428571,35937.4308,109758.1593,15195,7,76,21242,2429.199063,501,555,5416.9,10.81217565,12.9863503,11.28571429,5.285714286,8.285714286,74.92857143,6.308477862,0.028415082
330700,Jinhua,1,1,26,5652.346947,5892.813962,933.2052723,1713.051331,15873.03,17754.92229,3.475242857,4.829757143,17974.87659,69650.46134,16372,8,131,26814,2697.817083,556.4,466,4100.2,7.369158879,12.9863503,12,6,9,86,7.579995291,0.060174769
330800,Quzhou,1,2,5,2636.671534,2244.42305,217.4515571,6.171878636,12957.3,11353.42286,5.9317,5.959757143,82329.6027,84672.24639,6930,7,75,11621,1059.441108,218.5,251,1470.58,6.730343249,12.9863503,12.14285714,6.142857143,9.142857143,86.57142857,7.700338708,0.045798119
330900,Zhoushan,1,1,6,742.4940019,919.5572414,0,0,3666.546,3479.112,4.631271429,5.450071429,11988.87601,27188.09572,3581,5,30,5056,566.3282447,116.8,751,1316.7,11.27311644,12.9863503,9,1.714285714,5.357142857,78.57142857,5.466991756,0.063772754
331000,Taizhou,1,18,3.5,6956.415981,5181.766041,2541.219222,2261.228148,14918.04,11581.19486,4.340642857,5.301528571,46959.85133,122753.5546,17235,11,111,24955,2966.435103,611.8,569,4874.67,7.967750899,12.9863503,12.42857143,6.714285714,9.571428571,82.35714286,7.528407454,0.02069206
