Week,City Code,City,New Cases,non-Hubei flow,Wuhan flow(Previous week),Relative Humidity,Hospitals,,,,,,
1,110000,Beijing,26,4.24,5.25,1.97,5.97,,,,,,
1,120000,Tianjin,5,-0.42,-5.89,1.06,2.61,,,,,,
1,130100,Shijiazhuang,1,-0.22,-4.66,-0.3,-0.33,,,,,,
1,130900,Cangzhou,1,-0.18,-4.5,-0.3,-0.12,,,,,,
1,140100,Taiyuan,1,-0.33,-4.63,0.11,-0.31,,,,,,
1,150700,Hulunbuir,1,-0.46,-4.97,-0.34,-0.28,,,,,,
1,210100,Shenyang,2,-0.33,-4.63,0.11,-0.31,,,,,,
1,210200,Dalian,1,-0.45,-4.25,-0.37,-0.12,,,,,,
1,211300,Chaoyang,1,-0.43,-5.03,-0.34,-0.17,,,,,,
1,220100,Changchun,1,-0.34,-5.16,-0.39,-0.24,,,,,,
1,220200,Jilin,1,-0.45,-5,-0.34,-0.11,,,,,,
1,220700,Songyuan,1,-0.45,-4.99,-0.35,-0.14,,,,,,
1,230100,Harbin,1,-0.35,-5.14,-0.39,-0.19,,,,,,
1,230600,Daqing,1,-0.45,-5,-0.35,-0.1,,,,,,
1,231000,Mudanjiang,1,-0.45,-4.99,-0.35,-0.19,,,,,,
1,231200,Suihua,1,-0.31,-5,-0.35,-0.19,,,,,,
1,310000,Shanghai,20,4.17,3.03,0.26,3.71,,,,,,
1,320100,Nanjing,3,0.37,-4.63,0.15,-0.27,,,,,,
1,320200,Wuxi,1,-0.33,-4.63,0.24,-0.22,,,,,,
1,320500,Suzhou,2,-0.3,-4.64,0.11,-0.1,,,,,,
1,320600,Nantong,1,-0.33,-4.63,0.11,-0.31,,,,,,
1,320700,Lianyungang,1,-0.29,-5.13,-0.11,-0.2,,,,,,
1,321000,Yangzhou,1,-0.49,-4.15,0.14,-0.2,,,,,,
1,330100,Hangzhou,6,1.77,-4.8,0.54,-0.15,,,,,,
1,330200,Ningbo,5,-0.3,-4.85,0.16,-0.06,,,,,,
1,330300,Wenzhou,6,-0.27,-4.45,0.99,-0.11,,,,,,
1,330400,Jiaxing,3,-0.3,-4.84,0.15,-0.2,,,,,,
1,330600,Shaoxing,1,-0.45,-4.84,-0.13,-0.2,,,,,,
1,330700,Jinhua,1,-0.42,-4.35,-0.7,-0.1,,,,,,
1,330800,Quzhou,2,-0.3,-4.89,-0.35,-0.21,,,,,,
1,330900,Zhoushan,1,-0.45,-5.05,0.15,-0.14,,,,,,
1,331000,Taizhou,18,-0.29,-4.13,6,1.28,,,,,,
1,340100,Hefei,6,2.02,-4.55,0.41,-0.16,,,,,,
1,340300,Bengbu,1,-0.29,-5.16,-0.11,-0.2,,,,,,
1,340800,Anqing,1,-0.34,-4.63,0.1,-0.22,,,,,,
1,341100,Chuzhou,1,-0.34,-5.11,0.1,-0.2,,,,,,
1,341200,Fuyang,2,1.74,-4.79,0.19,-0.1,,,,,,
1,341500,Liuan,2,-0.34,-4.6,0.1,-0.07,,,,,,
1,341600,Bozhou,1,-0.24,-4.5,0.04,-0.2,,,,,,
1,341700,Chizhou,1,-0.44,-4.89,0.15,-0.12,,,,,,
1,350100,Fuzhou,4,-0.5,-4.33,0.14,-0.09,,,,,,
1,350200,Xiamen,3,-0.5,-4.14,0.14,-0.14,,,,,,
1,350500,Quanzhou,1,-0.28,-4.46,-0.1,-0.1,,,,,,
